,HCPCS_CODE,CLNDR_HCPCS_YR_NUM,LONG_DESCRIPTION,SHORT_DESCRIPTION,PRICE1,PRICE2,PRICE3,PRICE4,MULT_PI,CIM1,CIM2,CIM3,MCM1,MCM2,MCM3,STATUTE,LABCERT1,LABCERT2,LABCERT3,LABCERT4,LABCERT5,LABCERT6,LABCERT7,LABCERT8,XREF1,XREF2,XREF3,XREF4,XREF5,COV,ASC_GRP,ASC_DT,OPPS,OPPS_PI,OPPS_DT,PROCNOTE,BETOS,TOS1,TOS2,TOS3,TOS4,TOS5,ANEST_BU,ADD_DT,ACT_EFF_DT,TERM_DT,ACTION_CD
26,AV,2020,"Item furnished in conjunction with a prosthetic device, prosthetic or orthotic",Item w prosthetic/orthotic,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2003-01-01,2003-01-01,nan--,N
27,AW,2020,Item furnished in conjunction with a surgical dressing,Item w a surgical dressing,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2003-01-01,2003-01-01,nan--,N
28,AX,2020,Item furnished in conjunction with dialysis services,Item w dialysis services,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2003-01-01,2003-01-01,nan--,N
29,AY,2020,Item or service furnished to an esrd patient that is not for the treatment of esrd,Item/service not for esrd tx,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2011-01-01,2011-01-01,nan--,N
30,AZ,2020,Physician providing a service in a dental health professional shortage area for the purpose of an electronic health record incentive payment,Physician serv in dent hpsa,,,,,,,,,,,,,,,,,,,,,,,,,,I,,nan--,,,nan--,,,,,,,,,2011-01-01,2011-01-01,nan--,N
31,BA,2020,Item furnished in conjunction with parenteral enteral nutrition (pen) services,Item w pen services,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2003-01-01,2003-01-01,nan--,N
32,BL,2020,Special acquisition of blood and blood products,Spec acquisition blood prods,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2005-07-01,2005-07-01,nan--,N
33,BO,2020,"Orally administered nutrition, not by feeding tube",Nutrition oral admin no tube,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2003-01-01,2003-01-01,nan--,N
34,BP,2020,The beneficiary has been informed of the purchase and rental options and has elected to purchase the item,Bene electd to purchase item,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1992-01-01,1997-01-01,nan--,N
35,BR,2020,The beneficiary has been informed of the purchase and rental options and has elected to rent the item,Bene elected to rent item,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1992-01-01,1997-01-01,nan--,N
36,BU,2020,The beneficiary has been informed of the purchase and rental options and after 30 days has not informed the supplier of his/her decision,Bene undecided on purch/rent,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1992-01-01,1997-01-01,nan--,N
37,CA,2020,Procedure payable only in the inpatient setting when performed emergently on an outpatient who expires prior to admission,Procedure payable inpatient,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2003-01-01,2003-01-01,nan--,N
38,CB,2020,"Service ordered by a renal dialysis facility (rdf) physician as part of the esrd beneficiary's dialysis benefit, is not part of the composite rate, and is separately reimbursable",Esrd bene part a snf-sep pay,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2003-04-01,2004-01-01,nan--,N
39,CC,2020,Procedure code change (use 'cc' when the procedure code submitted was changed either for administrative reasons or because an incorrect code was filed),Procedure code change,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1990-01-01,1997-01-01,nan--,N
40,CD,2020,Amcc test has been ordered by an esrd facility or mcp physician that is part of the composite rate and is not separately billable,Amcc test for esrd or mcp md,,,,,,,,,4270.2,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,,,,,,,,,2004-01-01,2004-01-01,nan--,N
41,CE,2020,Amcc test has been ordered by an esrd facility or mcp physician that is a composite rate test but is beyond the normal frequency covered under the rate and is separately reimbursable based on medical necessity,Med neces amcc tst sep reimb,,,,,,,,,4270.2,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,,,,,,,,,2004-01-01,2004-01-01,nan--,N
42,CF,2020,Amcc test has been ordered by an esrd facility or mcp physician that is not part of the composite rate and is separately billable,Amcc tst not composite rate,,,,,,,,,4270.2,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,,,,,,,,,2004-01-01,2004-01-01,nan--,N
43,CG,2020,Policy criteria applied,Policy criteria applied,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2008-07-01,2008-07-01,nan--,N
44,CH,2020,"0 percent impaired, limited or restricted","0 percent impaired, ltd, res",,,,,,,,,,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,180.0,,,,,,,,2013-01-01,2013-01-01,nan--,N
45,CI,2020,"At least 1 percent but less than 20 percent impaired, limited or restricted",1 to <20 percent impaired,,,,,,,,,,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,180.0,,,,,,,,2013-01-01,2013-01-01,nan--,N
46,CJ,2020,"At least 20 percent but less than 40 percent impaired, limited or restricted",20 to <40 percent impaired,,,,,,,,,,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,180.0,,,,,,,,2013-01-01,2013-01-01,nan--,N
47,CK,2020,"At least 40 percent but less than 60 percent impaired, limited or restricted",40 to <60 percent impaired,,,,,,,,,,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,180.0,,,,,,,,2013-01-01,2013-01-01,nan--,N
48,CL,2020,"At least 60 percent but less than 80 percent impaired, limited or restricted",60 to <80 percent impaired,,,,,,,,,,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,180.0,,,,,,,,2013-01-01,2013-01-01,nan--,N
49,CM,2020,"At least 80 percent but less than 100 percent impaired, limited or restricted",80 to <100 percent impaired,,,,,,,,,,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,180.0,,,,,,,,2013-01-01,2013-01-01,nan--,N
50,CN,2020,"100 percent impaired, limited or restricted","100 percent impaired, ltd",,,,,,,,,,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,180.0,,,,,,,,2013-01-01,2013-01-01,nan--,N
51,CO,2020,Outpatient occupational therapy services furnished in whole or in part by an occupational therapy assistant,Outpatient ot service by ota,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2019-01-01,2019-01-01,nan--,N
52,CP,2020,"Adjunctive service related to a procedure assigned to a comprehensive ambulatory payment classification (c-apc) procedure, but reported on a different claim",C-apc adjunctive service,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2016-01-01,2018-01-01,2017-12-31,N
53,CQ,2020,Outpatient physical therapy services furnished in whole or in part by a physical therapist assistant,Outpatient pt service by pta,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2019-01-01,2019-01-01,nan--,N
54,CR,2020,Catastrophe/disaster related,Catastrophe/disaster related,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2005-08-21,2005-08-21,nan--,N
55,CS,2020,Cost-sharing waived for specified covid-19 testing-related services that result in and order for or administration of a covid-19 test and/or used for cost-sharing waived preventive services furnished via telehealth in rural health clinics and federally qualified health centers during the covid-19 public health emergency,Cost share waiver covid-19,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2011-01-01,2020-03-01,nan--,N
56,CT,2020,Computed tomography services furnished using equipment that does not meet each of the attributes of the national electrical manufacturers association (nema) xr-29-2013 standard,Ct does not meet nema standa,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2016-01-01,2016-01-01,nan--,N
57,DA,2020,Oral health assessment by a licensed health professional other than a dentist,"Oral health assess, not dent",,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2011-01-01,2011-01-01,nan--,N
58,E1,2020,"Upper left, eyelid",Upper left eyelid,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1995-01-01,1999-01-01,nan--,N
59,E2,2020,"Lower left, eyelid",Lower left eyelid,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1995-01-01,1999-01-01,nan--,N
60,E3,2020,"Upper right, eyelid",Upper right eyelid,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1995-01-01,1999-01-01,nan--,N
61,E4,2020,"Lower right, eyelid",Lower right eyelid,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1995-01-01,1999-01-01,nan--,N
62,EA,2020,Erythropoetic stimulating agent (esa) administered to treat anemia due to anti-cancer chemotherapy,"Esa, anemia, chemo-induced",,,,,,,,,,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,147.0,,,,,,,,2008-01-01,2008-01-01,nan--,N
63,EB,2020,Erythropoetic stimulating agent (esa) administered to treat anemia due to anti-cancer radiotherapy,"Esa, anemia, radio-induced",,,,,,,,,,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,147.0,,,,,,,,2008-01-01,2008-01-01,nan--,N
64,EC,2020,Erythropoetic stimulating agent (esa) administered to treat anemia not due to anti-cancer radiotherapy or anti-cancer chemotherapy,"Esa, anemia, non-chemo/radio",,,,,,,,,,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,147.0,,,,,,,,2008-01-01,2008-01-01,nan--,N
65,ED,2020,Hematocrit level has exceeded 39% (or hemoglobin level has exceeded 13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and including the current cycle,Hct>39% or hgb>13g>=3 cycle,,,,,,,,,,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,145.0,,,,,,,,2008-01-01,2008-01-01,nan--,N
66,EE,2020,Hematocrit level has not exceeded 39% (or hemoglobin level has not exceeded 13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and including the current cycle,Hct>39% or hgb>13g<3 cycle,,,,,,,,,,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,145.0,,,,,,,,2008-01-01,2008-01-01,nan--,N
67,EJ,2020,"Subsequent claims for a defined course of therapy, e.g., epo, sodium hyaluronate, infliximab",Subsequent claim,,,,,,,,,4273.2,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,,,,,,,,,1991-01-01,2000-01-01,nan--,N
68,EM,2020,Emergency reserve supply (for esrd benefit only),Emer reserve supply (esrd),,,,,,,,,3045.7,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,,,,,,,,,1991-01-01,1997-01-01,nan--,N
69,EP,2020,Service provided as part of medicaid early periodic screening diagnosis and treatment (epsdt) program,Medicaid epsdt program svc,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1987-01-01,1997-01-01,nan--,N
70,ER,2020,"Items and services furnished by a provider-based, off-campus emergency department",Off-campus ed service,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2019-01-01,2019-01-01,nan--,N
71,ET,2020,Emergency services,Emergency services,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1984-01-01,2002-01-01,nan--,N
72,EX,2020,Expatriate beneficiary,Expatriate beneficiary,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2015-04-01,2015-04-01,nan--,N
73,EY,2020,No physician or other licensed health care provider order for this item or service,No md order for item/service,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2003-01-01,2003-01-01,nan--,N
74,F1,2020,"Left hand, second digit","Left hand, second digit",,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1995-01-01,1999-01-01,nan--,N
75,F2,2020,"Left hand, third digit","Left hand, third digit",,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1995-01-01,1999-01-01,nan--,N
76,F3,2020,"Left hand, fourth digit","Left hand, fourth digit",,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1995-01-01,1999-01-01,nan--,N
77,F4,2020,"Left hand, fifth digit","Left hand, fifth digit",,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1995-01-01,1999-01-01,nan--,N
78,F5,2020,"Right hand, thumb","Right hand, thumb",,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1995-01-01,1999-01-01,nan--,N
79,F6,2020,"Right hand, second digit","Right hand, second digit",,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1995-01-01,1999-01-01,nan--,N
80,F7,2020,"Right hand, third digit","Right hand, third digit",,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1995-01-01,1999-01-01,nan--,N
81,F8,2020,"Right hand, fourth digit","Right hand, fourth digit",,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1995-01-01,1999-01-01,nan--,N
82,F9,2020,"Right hand, fifth digit","Right hand, fifth digit",,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1995-01-01,1999-01-01,nan--,N
83,FA,2020,"Left hand, thumb","Left hand, thumb",,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1995-01-01,1999-01-01,nan--,N
84,FB,2020,"Item provided without cost to provider, supplier or practitioner, or full credit received for replaced device (examples, but not limited to, covered under warranty, replaced due to defect, free samples)",Item provided without cost,,,,,,,,,,,,,,,,,,,,,,,,,,I,,nan--,,,nan--,,,,,,,,,2006-01-01,2008-01-01,nan--,N
85,FC,2020,Partial credit received for replaced device,"Part credit, replaced device",,,,,,,,,,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,143.0,,,,,,,,2008-01-01,2008-01-01,nan--,N
86,FP,2020,Service provided as part of family planning program,Svc part of family plan pgm,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1987-01-01,2005-01-01,nan--,N
87,FX,2020,X-ray taken using film,X-ray taken using film,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2017-01-01,2017-01-01,nan--,N
88,FY,2020,X-ray taken using computed radiography technology/cassette-based imaging,Computed radiography x-ray,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2018-01-01,2018-01-01,nan--,N
89,G0,2020,"Telehealth services for diagnosis, evaluation, or treatment, of symptoms of an acute stroke",Telestroke,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2019-01-01,2019-01-01,nan--,N
90,G1,2020,Most recent urr reading of less than 60,Urr reading of less than 60,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1997-01-01,1998-01-01,nan--,N
91,G2,2020,Most recent urr reading of 60 to 64.9,Urr reading of 60 to 64.9,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1997-01-01,1998-01-01,nan--,N
92,G3,2020,Most recent urr reading of 65 to 69.9,Urr  reading of 65 to 69.9,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1997-01-01,1998-01-01,nan--,N
93,G4,2020,Most recent urr reading of 70 to 74.9,Urr reading of 70 to 74.9,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1997-01-01,1997-01-01,nan--,N
94,G5,2020,Most recent urr reading of 75 or greater,Urr reading of 75 or greater,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1997-01-01,1998-01-01,nan--,N
95,G6,2020,Esrd patient for whom less than six dialysis sessions have been provided in a month,Esrd patient <6 dialysis/mth,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1998-05-01,1998-05-01,nan--,N
96,G7,2020,Pregnancy resulted from rape or incest or pregnancy certified by physician as life threatening,Payment limits do not apply,,,,,,35-99,,,2005.1,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,84.0,,,,,,,,1999-07-01,1999-07-01,nan--,N
97,G8,2020,"Monitored anesthesia care (mac) for deep complex, complicated, or markedly invasive surgical procedure",Monitored anesthesia care,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,83.0,,,,,,,,1999-07-01,1999-07-01,nan--,N
98,G9,2020,Monitored anesthesia care for patient who has history of severe cardio-pulmonary condition,Mac for at risk patient,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1999-07-01,1999-07-01,nan--,N
99,GA,2020,"Waiver of liability statement issued as required by payer policy, individual case",Liability waiver ind case,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1995-01-01,2011-01-01,nan--,N
100,GB,2020,Claim being re-submitted for payment because it is no longer covered under a global payment demonstration,Claim resubmitted,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2002-01-01,2002-01-01,nan--,N
101,GC,2020,This service has been performed in part by a resident under the direction of a teaching physician,Resident/teaching phys serv,,,,,,,,,3350.5,4116,,,,,,,,,,,,,,,,D,,nan--,,,nan--,,,,,,,,,1997-01-01,2001-01-01,nan--,N
102,GD,2020,Units of service exceeds medically unlikely edit value and represents reasonable and necessary services,Unit of service > mue value,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2008-01-01,2020-01-01,2019-12-31,N
103,GE,2020,This service has been performed by a resident without the presence of a teaching physician under the primary care exception,Resident prim care exception,,,,,,,,,4116,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,,,,,,,,,1997-01-01,1997-01-01,nan--,N
104,GF,2020,"Non-physician (e.g. nurse practitioner (np), certified registered nurse anesthetist (crna), certified registered nurse (crn), clinical nurse specialist (cns), physician assistant (pa)) services in a critical access hospital",Nonphysician serv c a hosp,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2003-04-01,2003-04-01,nan--,N
105,GG,2020,"Performance and payment of a screening mammogram and diagnostic mammogram on the same patient, same day",Payment screen mam + diagmam,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2002-01-01,2002-01-01,nan--,N
106,GH,2020,Diagnostic mammogram converted from screening mammogram on same day,Diag mammo to screening mamo,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1998-10-01,1998-10-01,nan--,N
107,GJ,2020,"""opt out"" physician or practitioner emergency or urgent service",Opt out provider of er srvc,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1998-10-01,1998-10-01,nan--,N
108,GK,2020,Reasonable and necessary item/service associated with a ga or gz modifier,Actual item/service ordered,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2002-01-01,2008-01-01,nan--,N
109,GL,2020,"Medically unnecessary upgrade provided instead of non-upgraded item, no charge, no advance beneficiary notice (abn)","Upgraded item, no charge",,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2002-01-01,2008-01-01,nan--,N
110,GM,2020,Multiple patients on one ambulance trip,Multiple transports,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2002-01-01,2002-01-01,nan--,N
111,GN,2020,Services delivered under an outpatient speech language pathology plan of care,Op speech language service,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1999-01-01,2003-01-01,nan--,N
112,GO,2020,Services delivered under an outpatient occupational therapy plan of care,Op occupational therapy serv,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1999-01-01,2003-01-01,nan--,N
113,GP,2020,Services delivered under an outpatient physical therapy plan of care,Op pt services,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,1999-01-01,2003-01-01,nan--,N
114,GQ,2020,Via asynchronous telecommunications system,Telehealth store and forward,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2001-10-01,2001-10-01,nan--,N
115,GR,2020,"This service was performed in whole or in part by a resident in a department of veterans affairs medical center or clinic, supervised in accordance with va policy",Service by va resident,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2006-01-01,2006-01-01,nan--,N
116,GS,2020,Dosage of erythropoietin stimulating agent has been reduced and maintained in response to hematocrit or hemoglobin level,Epo/darbepoietin reduced 25%,,,,,,,,,4273.1,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,,,,,,,,,2006-01-01,2013-01-01,nan--,N
117,GT,2020,Via interactive audio and video telecommunication systems,Interactivetelecommunication,,,,,,,,,,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,73.0,,,,,,,,1999-01-01,1999-01-01,nan--,N
118,GU,2020,"Waiver of liability statement issued as required by payer policy, routine notice",Liability waiver rout notice,,,,,,,,,,,,,,,,,,,,,,,,,,C,,nan--,,,nan--,,,,,,,,,2011-01-01,2011-01-01,nan--,N
119,GV,2020,Attending physician not employed or paid under arrangement by the patient's hospice provider,Attending phys not hospice,,,,,,,,,4175-5,,,,,,,,,,,,,,,,,D,,nan--,,,nan--,,,,,,,,,2002-01-01,2002-01-01,nan--,N
