,HCPCS_CODE,HCPCS_DESCRIPTION,HCPCS_ASC_EXCLUDED,HCPCS_ASC_EXCLUDED_DT,HCPCS_GROUP,HCPCS_GROUP_BEGIN_DT,HCPCS_GROUP_END_DT,ADDED_TO_FILE_DATE,LAST_EDIT_DATE,USER_ID
17,10081,Drainage of pilonidal cyst,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
18,10120,Remove foreign body,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
19,10121,Remove foreign body,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
20,10140,Drainage of hematoma/fluid,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
21,10160,Puncture drainage of lesion,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
22,10180,Complex drainage wound,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
23,11000,Debride infected skin,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
24,11001,Debride infected skin add-on,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
25,11010,Debride skin at fx site,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
26,11011,Debride skin musc at fx site,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
27,11012,Deb skin bone at fx site,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
28,11042,Deb subq tissue 20 sq cm/<,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
29,11043,Deb musc/fascia 20 sq cm/<,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
30,11044,Deb bone 20 sq cm/<,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
31,11045,Deb subq tissue add-on,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
32,11046,Deb musc/fascia add-on,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
33,11047,Deb bone add-on,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
34,11055,Trim skin lesion,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
35,11056,Trim skin lesions 2 to 4,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
36,11057,Trim skin lesions over 4,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
37,11102,Tangntl bx skin single les,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
38,11103,Tangntl bx skin ea sep/addl,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
39,11104,Punch bx skin single lesion,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
40,11105,Punch bx skin ea sep/addl,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
41,11106,Incal bx skn single les,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
42,11107,Incal bx skn ea sep/addl,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
43,11200,Removal of skin tags <w/15,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
44,11201,Remove skin tags add-on,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
45,11300,Shave skin lesion 0.5 cm/<,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
46,11301,Shave skin lesion 0.6-1.0 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
47,11302,Shave skin lesion 1.1-2.0 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
48,11303,Shave skin lesion >2.0 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
49,11305,Shave skin lesion 0.5 cm/<,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
50,11306,Shave skin lesion 0.6-1.0 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
51,11307,Shave skin lesion 1.1-2.0 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
52,11308,Shave skin lesion >2.0 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
53,11310,Shave skin lesion 0.5 cm/<,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
54,11311,Shave skin lesion 0.6-1.0 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
55,11312,Shave skin lesion 1.1-2.0 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
56,11313,Shave skin lesion >2.0 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
57,11400,Exc tr-ext b9+marg 0.5 cm<,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
58,11401,Exc tr-ext b9+marg 0.6-1 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
59,11402,Exc tr-ext b9+marg 1.1-2 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
60,11403,Exc tr-ext b9+marg 2.1-3cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
61,11404,Exc tr-ext b9+marg 3.1-4 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
62,11406,Exc tr-ext b9+marg >4.0 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
63,11420,Exc h-f-nk-sp b9+marg 0.5/<,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
64,11421,Exc h-f-nk-sp b9+marg 0.6-1,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
65,11422,Exc h-f-nk-sp b9+marg 1.1-2,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
66,11423,Exc h-f-nk-sp b9+marg 2.1-3,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
67,11424,Exc h-f-nk-sp b9+marg 3.1-4,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
68,11426,Exc h-f-nk-sp b9+marg >4 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
69,11440,Exc face-mm b9+marg 0.5 cm/<,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
70,11441,Exc face-mm b9+marg 0.6-1 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
71,11442,Exc face-mm b9+marg 1.1-2 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
72,11443,Exc face-mm b9+marg 2.1-3 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
73,11444,Exc face-mm b9+marg 3.1-4 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
74,11446,Exc face-mm b9+marg >4 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
75,11450,Removal sweat gland lesion,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
76,11451,Removal sweat gland lesion,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
77,11462,Removal sweat gland lesion,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
78,11463,Removal sweat gland lesion,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
79,11470,Removal sweat gland lesion,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
80,11471,Removal sweat gland lesion,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
81,11600,Exc tr-ext mal+marg 0.5 cm/<,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
82,11601,Exc tr-ext mal+marg 0.6-1 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
83,11602,Exc tr-ext mal+marg 1.1-2 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
84,11603,Exc tr-ext mal+marg 2.1-3 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
85,11604,Exc tr-ext mal+marg 3.1-4 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
86,11606,Exc tr-ext mal+marg >4 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
87,11620,Exc h-f-nk-sp mal+marg 0.5/<,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
88,11621,Exc s/n/h/f/g mal+mrg 0.6-1,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
89,11622,Exc s/n/h/f/g mal+mrg 1.1-2,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
90,11623,Exc s/n/h/f/g mal+mrg 2.1-3,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
91,11624,Exc s/n/h/f/g mal+mrg 3.1-4,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
92,11626,Exc s/n/h/f/g mal+mrg >4 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
93,11640,Exc f/e/e/n/l mal+mrg 0.5cm<,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
94,11641,Exc f/e/e/n/l mal+mrg 0.6-1,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
95,11642,Exc f/e/e/n/l mal+mrg 1.1-2,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
96,11643,Exc f/e/e/n/l mal+mrg 2.1-3,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
97,11644,Exc f/e/e/n/l mal+mrg 3.1-4,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
98,11646,Exc f/e/e/n/l mal+mrg >4 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
99,11719,Trim nail(s) any number,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
100,11720,Debride nail 1-5,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
101,11721,Debride nail 6 or more,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
102,11730,Removal of nail plate,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
103,11732,Remove nail plate add-on,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
104,11740,Drain blood from under nail,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
105,11750,Removal of nail bed,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
106,11755,Biopsy nail unit,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
107,11760,Repair of nail bed,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
108,11762,Reconstruction of nail bed,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
109,11765,Excision of nail fold toe,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
110,11770,Remove pilonidal cyst simple,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
111,11771,Remove pilonidal cyst exten,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
112,11772,Remove pilonidal cyst compl,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
113,11900,Inject skin lesions </w 7,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
114,11901,Inject skin lesions >7,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
115,11920,Correct skin color 6.0 cm/<,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
116,11921,Correct skn color 6.1-20.0cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
117,11922,Correct skin color ea 20.0cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
118,11950,Tx contour defects 1 cc/<,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
119,11951,Tx contour defects 1.1-5.0cc,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
120,11952,Tx contour defects 5.1-10cc,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
121,11954,Tx contour defects >10.0 cc,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
122,11960,Insert tissue expander(s),N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
123,11970,Replace tissue expander,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
124,11971,Remove tissue expander(s),N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
125,11976,Remove contraceptive capsule,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
126,11980,Implant hormone pellet(s),N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
127,11981,Insert drug implant device,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
128,11982,Remove drug implant device,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
129,11983,Remove/insert drug implant,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
130,12001,Rpr s/n/ax/gen/trnk 2.5cm/<,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
131,12002,Rpr s/n/ax/gen/trnk2.6-7.5cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
132,12004,Rpr s/n/ax/gen/trk7.6-12.5cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
133,12005,Rpr s/n/a/gen/trk12.6-20.0cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
134,12006,Rpr s/n/a/gen/trk20.1-30.0cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
135,12007,Rpr s/n/ax/gen/trnk >30.0 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
136,12011,Rpr f/e/e/n/l/m 2.5 cm/<,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
137,12013,Rpr f/e/e/n/l/m 2.6-5.0 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
138,12014,Rpr f/e/e/n/l/m 5.1-7.5 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
139,12015,Rpr f/e/e/n/l/m 7.6-12.5 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
140,12016,Rpr fe/e/en/l/m 12.6-20.0 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
141,12017,Rpr fe/e/en/l/m 20.1-30.0 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
142,12018,Rpr f/e/e/n/l/m >30.0 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
143,12020,Closure of split wound,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
144,12021,Closure of split wound,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
145,12031,Intmd rpr s/a/t/ext 2.5 cm/<,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
146,12032,Intmd rpr s/a/t/ext 2.6-7.5,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
147,12034,Intmd rpr s/tr/ext 7.6-12.5,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
148,12035,Intmd rpr s/a/t/ext 12.6-20,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
149,12036,Intmd rpr s/a/t/ext 20.1-30,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
150,12037,Intmd rpr s/tr/ext >30.0 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
151,12041,Intmd rpr n-hf/genit 2.5cm/<,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
152,12042,Intmd rpr n-hf/genit2.6-7.5,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
153,12044,Intmd rpr n-hf/genit7.6-12.5,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
154,12045,Intmd rpr n-hf/genit12.6-20,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
155,12046,Intmd rpr n-hf/genit20.1-30,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
156,12047,Intmd rpr n-hf/genit >30.0cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
157,12051,Intmd rpr face/mm 2.5 cm/<,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
158,12052,Intmd rpr face/mm 2.6-5.0 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
159,12053,Intmd rpr face/mm 5.1-7.5 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
160,12054,Intmd rpr face/mm 7.6-12.5cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
161,12055,Intmd rpr face/mm 12.6-20 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
162,12056,Intmd rpr face/mm 20.1-30.0,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
163,12057,Intmd rpr face/mm >30.0 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
164,13100,Cmplx rpr trunk 1.1-2.5 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
165,13101,Cmplx rpr trunk 2.6-7.5 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
166,13102,Cmplx rpr trunk addl 5cm/<,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
167,13120,Cmplx rpr s/a/l 1.1-2.5 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
168,13121,Cmplx rpr s/a/l 2.6-7.5 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
169,13122,Cmplx rpr s/a/l addl 5 cm/>,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
170,13131,Cmplx rpr f/c/c/m/n/ax/g/h/f,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
171,13132,Cmplx rpr f/c/c/m/n/ax/g/h/f,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
172,13133,Cmplx rpr f/c/c/m/n/ax/g/h/f,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
173,13151,Cmplx rpr e/n/e/l 1.1-2.5 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
174,13152,Cmplx rpr e/n/e/l 2.6-7.5 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
175,13153,Cmplx rpr e/n/e/l addl 5cm/<,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
176,13160,Late closure of wound,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
177,14000,Tis trnfr trunk 10 sq cm/<,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
178,14001,Tis trnfr trunk 10.1-30sqcm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
179,14020,Tis trnfr s/a/l 10 sq cm/<,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
180,14021,Tis trnfr s/a/l 10.1-30 sqcm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
181,14040,Tis trnfr f/c/c/m/n/a/g/h/f,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
182,14041,Tis trnfr f/c/c/m/n/a/g/h/f,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
183,14060,Tis trnfr e/n/e/l 10 sq cm/<,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
184,14061,Tis trnfr e/n/e/l10.1-30sqcm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
185,14301,Tis trnfr any 30.1-60 sq cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
186,14302,Tis trnfr addl 30 sq cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
187,14350,Filleted finger/toe flap,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
188,15002,Wound prep trk/arm/leg,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
189,15003,Wound prep addl 100 cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
190,15004,Wound prep f/n/hf/g,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
191,15005,Wnd prep f/n/hf/g addl cm,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
192,15040,Harvest cultured skin graft,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
193,15050,Skin pinch graft,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
194,15100,Skin splt grft trnk/arm/leg,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
195,15101,Skin splt grft t/a/l add-on,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
196,15110,Epidrm autogrft trnk/arm/leg,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
197,15111,Epidrm autogrft t/a/l add-on,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
198,15115,Epidrm a-grft face/nck/hf/g,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
199,15116,Epidrm a-grft f/n/hf/g addl,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
200,15120,Skn splt a-grft fac/nck/hf/g,N,,Y,2020-01-01,2020-12-31,2020-10-15,2020-10-15,Raw asc data from CMS
